urn,summary,type,firstname,lastname,numViews,numLikes,numComments,numShares,engagementRate,numEmojies,numHashtags,numLinks,hashtags,labels,createdAt,link
"urn:li:activity:7011990206547431425","LinkedIn, which school m...","Poll","Ankur","Warikoo","23872","38","9","1",0.0020107238605898124,0,4,0,"career,school,poll,warikoo","","2022-12-23 15:30:20","https://www.linkedin.com/feed/update/urn:li:activity:7011990206547431425"
"urn:li:activity:7011888114440777728","Meeting people way smart...","Video (native)","Ankur","Warikoo","14735","1030","41","3",0.07288768238887004,0,4,0,"avatar,speaker,indiatoday,warikoo","","2022-12-23 08:40:56","https://www.linkedin.com/feed/update/urn:li:activity:7011888114440777728"
"urn:li:activity:7011720996000817152","Love these first few pag...","Text","Ankur","Warikoo","12665","77","4","0",0.006395578365574418,0,0,0,"","","2022-12-22 21:53:04","https://www.linkedin.com/feed/update/urn:li:activity:7011720996000817152"
"urn:li:activity:7011721664073756672","One of my fav chapters f...","Text","Ankur","Warikoo","6438","60","3","0",0.0097856477166822,0,0,0,"","","2022-12-22 21:53:04","https://www.linkedin.com/feed/update/urn:li:activity:7011721664073756672"
"urn:li:activity:7011699370731429888","How my second book may b...","Image","Ankur","Warikoo","42596","447","27","0",0.011127805427739694,0,4,1,"book,getepicshitdone,doepicshit,warikoo","","2022-12-22 20:29:37","https://www.linkedin.com/feed/update/urn:li:activity:7011699370731429888"
"urn:li:activity:7011623873318170624","How most people think I ...","Image","Ankur","Warikoo","133200","2143","77","5",0.016704204204204206,0,4,0,"timemanagement,content,people,warikoo","","2022-12-22 15:08:21","https://www.linkedin.com/feed/update/urn:li:activity:7011623873318170624"
"urn:li:activity:7011525726558404608","10 habits that have work...","Document","Ankur","Warikoo","382008","2763","116","101",0.007800883751125631,0,4,0,"habits,success,awareness,warikoo","","2022-12-22 09:04:46","https://www.linkedin.com/feed/update/urn:li:activity:7011525726558404608"
"urn:li:activity:7011334138326597632","When people respond to m...","Image","Ankur","Warikoo","57625","394","10","1",0.007028199566160521,0,4,1,"people,love,email,warikoo","","2022-12-21 20:03:14","https://www.linkedin.com/feed/update/urn:li:activity:7011334138326597632"
"urn:li:activity:7011261486102659072","“Your 30s would be much ...","Image","Ankur","Warikoo","469890","6107","133","24",0.01333077954414863,0,4,0,"happiness,success,career,warikoo","","2022-12-21 15:03:59","https://www.linkedin.com/feed/update/urn:li:activity:7011261486102659072"
"urn:li:activity:7011163338613141504","Companies that ask for a...","Text","Ankur","Warikoo","645901","9943","285","136",0.016045802684931592,0,0,0,"","","2022-12-21 08:30:08","https://www.linkedin.com/feed/update/urn:li:activity:7011163338613141504"
